num_notaria,nombre_notaria,direccion,lat,lon
53,Randy Stalin Balcázar Leigue,4to Anillo frente a la Academia Tahuichi Aguilera- Zona Sur,-17.7952751,-63.1573139
54,Mayra Ninoshka Mercado Michel,Calle Güemes entre San Martín y Enrique Finot - Edif. The Loft Planta Baja. Of.102 - Equipetrol,-17.7589212,-63.19870030000001
55,Guido Alcides Justiniano Sandoval,Calle Beni № 48 -Centro,-17.87374565,-63.18189403626364
56,Adela Ramírez Rodríguez,Calle Alcide d' Orbigny № 99 - Of. 3 - Centro,-17.7734381,-63.1807637
57,Ana Moyra Jordán Mardinez,Calle Chuquisaca № 227 - Entre Ñuflo de Chávez y Warnes - Centro,-17.7852639,-63.18017079999999
58,Marcela Marlene Lazo Sarabia,Barrio Grigotá - Calle Los Cocos № 173 - Zona Mutualista,-17.7641078,-63.1632196
59,Beverly Vidal Rosado,Calle Murillo № 17 - Centro,-17.7921029,-63.1655318
60,Walter Carrasco Escalante,Av. Teniente Walter Vega № 70 – UV. Barrio Lindo,-17.79088855,-63.1721792
61,Silvia Valeria Gutiérrez,Calle Beni № 647,-17.7834217,-63.1820853
62,Hugo Mauricio Miranda Valenzuela,Calle Aroma - Ed. Casanova Planta Baja № 12 - Centro,-17.7738632,-63.1805102
63,Adolfo Esteban Machicado Poma,Sin dirección registrada,,
64,Grecia del Rosario Pozo Galarza,Calle 24 de Septiembre № 556 entre Cuéllar y Rafael Peña,-17.7779944,-63.18182965767632
65,María Teresa Osinaga de Cuéllar,Calle Celso Castedo Nº 133 -Entre Aroma y Beni –Casco Viejo,,
66,Ruth Rosario Villarroel Quisbert,Av. Trinidad - Esq. Luis Lavadenz - Entre 2do y 1er Anillo - Frente a la UNICEN,-17.7662521,-63.16197699999999
67,Tanya Teresa Prada Junis,Prolongación Beni № 10 - Of. 1 - Centro,-17.7264872,-63.1560186
68,Marco Antonio Pantoja Mealla,Calle Alfonsina Storni № 23 - Barrio Equipetrol,-17.7663942,-63.19167329999999
69,William Josué Ayala Baldelomar,Calle Ñuflo de Chávez № 434 – Entre Potosí y Tarija,-17.784659107854605,-63.16730269989556
70,Rosario Escalante Pardo,Calle Alcide d´Orbigny № 63 - Of 2 - Centro,-17.7846417,-63.1799784
71,Enrique Clever Meneses Peña,Avenida Cañoto № 36,-17.7818603,-63.15407510000001
72,Karen Irena Weber Lobo,Calle 6 Este (Tucumán) № 31 - Equipetrol,-17.74789085,-63.186895899999996
73,María del Pilar Peinado Añez,Calle Beni № 124 - Entre 1er y 2do Anillo - Oficina Nº 1 Interior.,-17.7834217,-63.1820853
74,Ivonne Rosario Satt Subirana,Calle Mercado № 10 - Casi Esquina René Moreno – Casco Viejo,-17.7879936,-63.1813308
75,Marioly Rocha Arancibia,Calle Chuquisaca № 268 - 0fic. 02,-17.7816566,-63.1960184
76,Hugo Alejandro Vargas Sainz,Avenida Uruguay № 150 - Esq. Calle Beni - Piso 1- Oficinas 10 11 12 y 13 - Centro,-17.7834217,-63.1820853
77,Marleny Gutiérrez Sejas,Calle Santa Bárbara № 65 - Entre Ayacucho y Junín - Anillo Central,-17.7834217,-63.1820853
78,Carol Sarabia Rojas,Avenida Isabel La Católica esquina M. La Ramada,-17.791711130358074,-63.19008307195081
79,Clara Ivonne Phillips de Saucedo,Calle Independencia esq. Ingavi - Galería Paitití - Oficinas 21- 22- 23- 24-105 - Centro,-17.7846245,-63.18271540000001
80,Gregorio Bernardo Herrera Maydana,Sin dirección registrada,-17.8142084,-63.181714
81,Silvia Ruth Subirana Castellanos,Calle Guayaramerín № 2965,-17.7834217,-63.1820853
82,Eunice Aramayo Mercado,Avenida Doble Vía a La Guardia - 2 cuadras antes del 4to. Anillo - Calle Los Sauces,-17.7834217,-63.1820853
83,María Lilian Suárez Ribera,Calle Beni № 265 - Entre Charcas y Arenales - Centro,-17.78074,-63.1721666
84,Silvia Eugenia Romero Durán,4to Anillo - Esq. Calle Corao Suna - Barrio Villa Warnes,-17.820775,-63.1937
85,Mary Lidia Ramírez Tapia,Av. Uruguay № 32- Of. 9 - Entre Calles Beni y 24 de Septiembre - Centro,-17.8117328,-63.1818046
86,José Ernesto Aponte Ribera,Calle Ñuflo de Chávez № 57 - Centro,-17.7814506,-63.17315211026539
